,0
0,-0.7014858438627805
1,-1.4556799681746784
2,-0.6315770986344531
3,-0.9700893096598093
4,-0.998250706750181
5,-1.2770341071873983
6,-0.7694106108761045
7,-0.6357554275603208
8,-0.9955104394776028
9,-1.323636273503504
10,-1.4520299259309783
11,-1.251226457047572
12,-0.9154145315560822
13,-0.8242520692321307
14,-1.0166489447348315
15,-0.6739466260820328
16,-0.6909701611105306
17,-1.2383037127693284
18,-0.9889245958552797
19,-0.6220160303413895
20,-0.7500772174758539
21,-1.5033162687618626
22,-0.7539763823676502
23,-1.193707272747589
24,-0.5846811568016463
25,-0.6251335550040915
26,-1.3265363904764038
27,-0.6018031387287226
28,-1.3932018991007264
29,-1.479520697475263
30,-1.3157995003662275
31,-1.1436781415065662
32,-1.2284228117018723
33,-1.255362728217259
34,-1.2084120812994972
35,-0.8450652694950254
36,-0.9173616459178777
37,-0.8943546584278386
38,-0.5678545980932845
39,-0.5731562123926155
40,-0.821247268356283
41,-0.9433789319918777
42,-1.2847353275629974
43,-1.386759308037872
44,-1.4209004529890532
45,-1.210737142306279
46,-1.3895353892055555
47,-1.4097744124149785
48,-0.8401657491059205
49,-1.3498845991872892
50,-1.2110509072350164
51,-0.7262695735398508
52,-1.2554693661638152
53,-0.5557996210701093
54,-1.069866786658719
55,-0.8972140427531357
56,-1.3594589582698295
57,-0.9810529850987606
58,-1.3967965457045997
59,-0.6918126500598851
60,-0.707146427751371
61,-0.6942351095349371
62,-1.39217058969746
63,-1.235521363526347
64,-1.3274531723083138
65,-0.689162030375964
66,-1.0984224535142186
67,-1.0034278082406531
68,-1.145939433628622
69,-1.2363919593719024
70,-0.623537934804594
71,-0.8316581929457636
72,-1.0464809319495665
73,-0.747181802800936
74,-0.9027137790896134
75,-1.4724854196696124
76,-0.6610777129517873
77,-0.7223676046593843
78,-1.2888445590624993
79,-1.3921345816113349
80,-0.7030752942730047
81,-0.5288188941543772
82,-1.0490305037530396
83,-0.6709349452874849
84,-1.170610235948734
85,-1.0459579118873135
86,-1.4077702784969117
87,-1.1739345697872683
88,-1.1424030886472634
89,-1.3797728043139872
90,-0.6169685798044979
