,0
0,-0.2603105390683876
1,0.1385869594375084
2,-0.4464987138491832
3,0.0958478918979039
4,-0.0993789769748252
5,-0.0197909757665092
6,-0.2947651842736018
7,-0.104409002747562
8,-0.0873750449520419
9,-0.3165339283763695
10,0.1007687134695082
11,-0.0676236678220857
12,-0.3166103543426101
13,0.3744867653124454
14,0.110472169490306
15,0.2325255512110378
16,-0.3056441076190362
17,0.4409288177407123
18,0.1417296588629836
19,0.2562969543211259
20,-0.3497382709922156
21,-0.1375458299034003
22,-0.4485531605645855
23,0.2994916957379109
24,-0.2161933928839011
25,-0.3931955879665849
26,-0.4706180663463856
27,0.3584948732008619
28,-0.2777208637601191
29,-0.3823598504516181
30,-0.2028314632984255
31,-0.4656587595158314
32,-0.2279130344153633
33,-0.4347448571061305
34,0.4551511324351044
35,0.4824103293193219
36,0.1020025324276584
37,0.0261138680739006
38,0.2940476119532345
39,0.3181259980383027
40,0.1522611709645849
41,0.1440940529262404
42,0.3446366823712476
